# schema.table|column|type|nullability|default
# مولَّد آليًا بـ scripts/db_index.sh — لا يُحرَّر يدويًا
audit.audit_logs|id|uuid|NOT NULL|gen_random_uuid()
audit.audit_logs|tenant_id|uuid|NOT NULL|-
audit.audit_logs|well_id|uuid|null|-
audit.audit_logs|user_id|uuid|null|-
audit.audit_logs|device_id|uuid|null|-
audit.audit_logs|action|text|NOT NULL|-
audit.audit_logs|entity_type|text|NOT NULL|-
audit.audit_logs|entity_id|uuid|NOT NULL|-
audit.audit_logs|old_values|jsonb|null|-
audit.audit_logs|new_values|jsonb|null|-
audit.audit_logs|reason|text|null|-
audit.audit_logs|client_timestamp|timestamp with time zone|null|-
audit.audit_logs|server_timestamp|timestamp with time zone|NOT NULL|now()
audit.audit_logs|ip_address|inet|null|-
audit.audit_logs|app_version|text|null|-
billing.invoice_lines|id|uuid|NOT NULL|gen_random_uuid()
billing.invoice_lines|tenant_id|uuid|NOT NULL|-
billing.invoice_lines|invoice_id|uuid|NOT NULL|-
billing.invoice_lines|line_number|integer|NOT NULL|-
billing.invoice_lines|line_type|text|NOT NULL|-
billing.invoice_lines|description|text|NOT NULL|-
billing.invoice_lines|quantity|numeric(18,6)|NOT NULL|-
billing.invoice_lines|unit|text|NOT NULL|-
billing.invoice_lines|unit_price_minor|bigint|NOT NULL|-
billing.invoice_lines|amount_minor|bigint|NOT NULL|-
billing.invoice_lines|session_segment_id|uuid|null|-
billing.invoice_lines|created_at|timestamp with time zone|NOT NULL|now()
billing.invoices|id|uuid|NOT NULL|gen_random_uuid()
billing.invoices|tenant_id|uuid|NOT NULL|-
billing.invoices|public_code|text|NOT NULL|-
billing.invoices|sequence_number|bigint|null|-
billing.invoices|well_id|uuid|NOT NULL|-
billing.invoices|farmer_well_account_id|uuid|NOT NULL|-
billing.invoices|session_id|uuid|null|-
billing.invoices|invoice_date|timestamp with time zone|NOT NULL|-
billing.invoices|due_date|timestamp with time zone|null|-
billing.invoices|status|text|NOT NULL|'draft'::text
