# schema.function(args)|returns|volatility|security|config
# مولَّد آليًا بـ scripts/db_index.sh — لا يُحرَّر يدويًا
api.accrue_payroll(p_well_id uuid, p_person_id uuid, p_period_start date, p_period_end date, p_gross_minor bigint, p_deductions_minor bigint)|uuid|volatile|invoker|search_path=pg_catalog, pg_temp
api.allocate_payment(p_payment_id uuid, p_allocations jsonb)|jsonb|volatile|invoker|search_path=pg_catalog, pg_temp
api.app_bootstrap()|jsonb|stable|invoker|search_path=pg_catalog, pg_temp
api.approve_profit_distribution(p_cycle_id uuid)|void|volatile|invoker|search_path=pg_catalog, pg_temp
api.calculate_profit_distribution(p_well_id uuid, p_period_start timestamp with time zone, p_period_end timestamp with time zone, p_manual_reserve_minor bigint)|uuid|volatile|invoker|search_path=pg_catalog, pg_temp
api.change_session_energy_source(p_session_id uuid, p_new_source text, p_changed_at timestamp with time zone, p_closed_fuel_quantity_ml bigint, p_closed_fuel_measurement_type text, p_new_fuel_owner_person_id uuid, p_command_id uuid)|uuid|volatile|invoker|search_path=pg_catalog, pg_temp
api.claim_well_invitation(p_code text)|jsonb|volatile|invoker|search_path=pg_catalog, pg_temp
api.close_period(p_period_id uuid)|void|volatile|invoker|search_path=pg_catalog, pg_temp
api.close_shift(p_shift_id uuid, p_allow_open_sessions boolean)|uuid|volatile|invoker|search_path=pg_catalog, pg_temp
api.complete_irrigation_session(p_session_id uuid, p_ended_at timestamp with time zone, p_fuel_quantity_ml bigint, p_fuel_measurement_type text, p_fuel_tank_id uuid, p_command_id uuid)|jsonb|volatile|invoker|search_path=pg_catalog, pg_temp
api.confirm_handover(p_handover_id uuid, p_confirmed_amount_minor bigint, p_difference_reason text)|text|volatile|invoker|search_path=pg_catalog, pg_temp
api.consume_password_reset(p_phone text, p_code text)|jsonb|volatile|invoker|search_path=pg_catalog, pg_temp
api.create_booking(p_well_id uuid, p_farmer_well_account_id uuid, p_farm_id uuid, p_scheduled_start timestamp with time zone, p_scheduled_end timestamp with time zone, p_pump_id uuid, p_water_line_id uuid, p_expected_energy_source text, p_priority integer, p_notes text)|jsonb|volatile|invoker|search_path=pg_catalog, pg_temp
